X,Algorithm,value
1600,AdaHT,104.13
200,AdaHT,82.318
3200,AdaHT,101.23
400,AdaHT,100.498
800,AdaHT,110.942
200,ASHT,76.023
1600,BagAdaHT,186.624
200,BagAdaHT,192.771
3200,BagAdaHT,177.707
400,BagAdaHT,186.882
800,BagAdaHT,189.609
1600,BagAdwin,119.478
200,BagAdwin,121.697
3200,BagAdwin,112.609
400,BagAdwin,135.909
800,BagAdwin,131.224
1600,BagASHT,115.933
200,BagASHT,116.76
3200,BagASHT,114.697
400,BagASHT,115.288
800,BagASHT,126.842
1600,BagHT,118.404
200,BagHT,117.476
3200,BagHT,109.909
400,BagHT,114.604
800,BagHT,118.583
1600,BagSRHT,152.322
200,BagSRHT,167.341
3200,BagSRHT,138.676
400,BagSRHT,162.704
800,BagSRHT,152.502
1600,BoostAdaHT,183.16
200,BoostAdaHT,181.265
3200,BoostAdaHT,171.295
400,BoostAdaHT,177.837
800,BoostAdaHT,189.322
1600,BoostHT,119.223
200,BoostHT,130.273
3200,BoostHT,115.217
400,BoostHT,119.028
800,BoostHT,126.422
1600,HT,62.796
200,HT,63.913
3200,HT,62.441
400,HT,62.955
800,HT,62.863
